Parliament,Member,Party,Constituency,State
P001,YB DATUK ZAHIDI BIN ZAINUL ABIDIN,BN - UMNO,PADANG BESAR,Perlis
P002,YB TUAN NOOR AMIN BIN AHMAD,PH - PKR,KANGAR,Perlis
P003,YB DATO' SERI DR. SHAHIDAN BIN KASSIM,BN - UMNO,ARAU,Perlis
P004,YAB TUN DR. MAHATHIR BIN MOHAMAD,PH - PPBM,LANGKAWI,Kedah
P005,YB DATO' SERI HAJI MUKHRIZ TUN DR. MAHATHIR,PH - PPBM,JERLUN,Kedah
P006,YB DATO' HAJI AMIRUDDIN BIN HAMZAH,PH - PPBM,KUBANG PASU,Kedah
P007,YB DATO' SERI MAHDZIR BIN KHALID,BN - UMNO,PADANG TERAP,Kedah
P008,YB DATO' MAHFUZ BIN HAJI OMAR,PH - AMANAH,POKOK SENA,Kedah
P009,YB TUAN CHAN MING KAI,PH - PKR,ALOR SETAR,Kedah
P010,YB DR. AZMAN BIN ISMAIL,PH - PKR,KUALA KEDAH,Kedah
P011,YB TUAN HAJI AWANG BIN HASHIM,PAS,PENDANG,Kedah
P012,YB TUAN SABRI BIN AZIT,PAS,JERAI,Kedah
P013,YB TUAN AHMAD TARMIZI BIN SULAIMAN,PAS,SIK,Kedah
P014,YB PUAN NOR AZRINA BINTI SURIP,PH - PKR,MERBOK,Kedah
P015,YB DATO' JOHARI BIN ABDUL,PH - PKR,SUNGAI PETANI,Kedah
P016,YB DATUK SERI PANGLIMA ABDUL AZEEZ BIN ABDUL RAHIM,BN - UMNO,BALING,Kedah
P017,YB TUAN KARUPAIYA A/L MUTUSAMI,PH - PKR,PADANG SERAI,Kedah
P018,YB DATO' SAIFUDDIN NASUTION BIN ISMAIL,PH - PKR,KULIM-BANDAR BHARU,Kedah
P019,YB DATO' HAJI CHE ABDULLAH BIN MAT NAWI,PAS,TUMPAT,Kelantan
P020,YB USTAZ HAJI AHMAD MARZUK BIN SHAARY,PAS,PENGKALAN CHEPA,Kelantan
P021,YB DATO' TAKIYUDDIN BIN HASSAN,PAS,KOTA BHARU,Kelantan
P022,YB TUAN AHMAD FADHLI BIN SHAARI,PAS,PASIR MAS,Kelantan
P023,YB PUAN HAJAH SITI ZAILAH BINTI MOHD YUSOFF,PAS,RANTAU PANJANG,Kelantan
P024,YB DATO' TUAN IBRAHIM BIN TUAN MAN,PAS,KUBANG KERIAN,Kelantan
P025,YB TUAN NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,PAS,BACHOK,Kelantan
P026,YB TAN SRI DATUK SERI PANGLIMA HAJI ANNUAR BIN HAJI MUSA,BN - UMNO,KETEREH,Kelantan
P027,YB DATO' SRI IKMAL HISHAM BIN ABDUL AZIZ,BN - UMNO,TANAH MERAH,Kelantan
P028,YB DR. NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,PAS,PASIR PUTEH,Kelantan
P029,YB DATUK AHMAD JAZLAN BIN YAAKUB,BN - UMNO,MACHANG,Kelantan
P030,YB DATO' SRI MUSTAPA BIN MOHAMED,BN - UMNO,JELI,Kelantan
P031,YB TUAN ABDUL LATIFF BIN ABDUL RAHMAN,PAS,KUALA KRAI,Kelantan
P032,YB TENGKU RAZALEIGH HAMZAH,BN - UMNO,GUA MUSANG,Kelantan
P033,YB DATO' SERI HAJI IDRIS BIN JUSOH,BN - UMNO,BESUT,Terengganu
P034,YB TUAN SHAHARIZUKIRNAIN BIN ABD KADIR,PAS,SETIU,Terengganu
P035,YB DATO' DR. MOHD KHAIRUDDIN BIN AMAN RAZALI,PAS,KUALA NERUS,Terengganu
P036,YB HAJI AHMAD AMZAD BIN MOHAMED @ HASHIM,PAS,KUALA TERENGGANU,Terengganu
